chrom1	start1	end1	symbol	chrom2	start2	end2	overlap
chr1	6186671	6186816	RPL22	chr1	6185028	6186818	145
chr1	6186671	6186816	RPL22	chr1	6185029	6186818	145
chr1	9726908	9727046	PIK3CD	chr1	9726946	9728915	100
chr1	17409089	17409194	RCC2	chr1	17406761	17409195	105
chr1	17409089	17409194	RCC2	chr1	17406762	17409196	105
chr1	17409089	17409194	RCC2	chr1	17406779	17409196	105
chr1	17409089	17409194	RCC2	chr1	17406780	17409197	105
chr1	22086438	22086548	CDC42	chr1	22086436	22092405	110
chr1	22086438	22086548	CDC42	chr1	22086436	22092414	110
chr1	22086438	22086548	CDC42	chr1	22086436	22092950	110
chr1	22086438	22086548	CDC42	chr1	22086439	22092399	109
chr1	22086668	22086866	CDC42	chr1	22086436	22092405	198
chr1	22086668	22086866	CDC42	chr1	22086436	22092414	198
chr1	22086668	22086866	CDC42	chr1	22086436	22092950	198
chr1	22086668	22086866	CDC42	chr1	22086439	22092399	198
chr1	22089942	22090032	CDC42	chr1	22086436	22092405	90
chr1	22089942	22090032	CDC42	chr1	22086436	22092414	90
chr1	22089942	22090032	CDC42	chr1	22086436	22092950	90
chr1	22089942	22090032	CDC42	chr1	22086439	22092399	90
chr1	22091427	22091517	CDC42	chr1	22086436	22092405	90
chr1	22091427	22091517	CDC42	chr1	22086436	22092414	90
chr1	22091427	22091517	CDC42	chr1	22086436	22092950	90
chr1	22091427	22091517	CDC42	chr1	22086439	22092399	90
chr1	22091427	22091517	CDC42	chr1	22091424	22092943	90
chr1	36286367	36287270	THRAP3	chr1	36286365	36289756	903
chr1	36289059	36289764	THRAP3	chr1	36286365	36289756	697
chr1	36303795	36304017	THRAP3	chr1	36303794	36305334	222
chr1	36304473	36304524	THRAP3	chr1	36303794	36305334	51
chr1	119996996	119997332	NOTCH2	chr1	119989247	120093730	336
chr1	119996996	119997332	NOTCH2	chr1	119989247	120163868	336
chr1	119996996	119997332	NOTCH2	chr1	119989247	120323081	336
